session_id,user_id,channel,turns_count,avg_latency_ms,fallback_rate,resolved_flag,satisfaction_score
S0000,U004,app,4,748,0.0,1,2
S0001,U003,app,3,627,0.0,1,2
S0002,U019,web,8,827,0.0,1,2
S0003,U006,web,6,935,0.0,1,2
S0004,U015,web,3,677,0.0,1,3
S0005,U001,web,4,928,0.0,1,2
S0006,U017,messenger,15,804,0.06666666666666667,1,3
S0007,U015,messenger,11,775,0.0,1,2
S0008,U011,web,7,855,0.0,1,3
S0009,U012,web,4,787,0.0,1,2
S0010,U016,web,4,782,0.0,1,2
S0011,U000,web,3,813,0.0,1,2
S0012,U002,messenger,4,840,0.25,1,3
S0013,U003,app,10,762,0.0,1,2
S0014,U016,web,5,836,0.0,1,3
S0015,U014,app,13,800,0.07692307692307693,1,3
S0016,U006,messenger,7,886,0.0,1,3
S0017,U008,app,3,824,0.0,1,2
S0018,U016,messenger,3,572,0.0,1,3
S0019,U007,web,3,730,0.0,1,2
S0020,U000,web,3,691,0.0,1,2
S0021,U014,app,7,540,0.14285714285714285,1,2
S0022,U004,messenger,7,836,0.0,1,2
S0023,U019,messenger,5,806,0.0,1,3
S0024,U008,web,6,848,0.0,1,2
S0025,U002,messenger,20,713,0.05,1,2
S0026,U009,app,4,888,0.0,1,3
S0027,U014,web,5,788,0.0,1,2
S0028,U015,web,3,635,0.0,1,2
S0029,U016,web,5,908,0.0,1,2
S0030,U019,app,5,1106,0.0,1,2
S0031,U019,web,4,700,0.25,1,2
S0032,U012,web,3,818,0.0,1,2
S0033,U009,messenger,4,758,0.0,1,2
S0034,U000,messenger,3,590,0.0,1,2
S0035,U004,messenger,3,987,0.0,1,3
S0036,U001,app,5,916,0.2,1,2
S0037,U015,app,4,670,0.0,1,3
S0038,U015,app,5,879,0.0,1,2
S0039,U003,app,6,945,0.0,1,2
S0040,U003,messenger,4,861,0.0,1,3
S0041,U009,app,4,745,0.0,1,2
S0042,U008,web,4,942,0.0,1,2
S0043,U017,app,7,784,0.0,1,3
S0044,U007,web,3,768,0.0,1,2
S0045,U014,web,7,667,0.0,1,3
S0046,U011,web,4,616,0.0,1,2
S0047,U017,app,7,884,0.0,1,2
S0048,U014,messenger,12,847,0.0,1,3
S0049,U012,app,14,784,0.0,1,2
S0050,U018,web,11,789,0.09090909090909091,1,2
S0051,U015,app,5,752,0.0,1,2
S0052,U002,web,3,1106,0.0,1,2
S0053,U000,web,4,688,0.0,1,2
S0054,U013,app,9,748,0.0,1,3
S0055,U011,messenger,3,584,0.0,1,2
S0056,U006,app,7,767,0.0,1,2
S0057,U011,messenger,4,912,0.0,1,3
S0058,U008,app,4,775,0.25,1,3
S0059,U002,web,3,946,0.0,1,2
S0060,U004,web,4,660,0.0,1,2
S0061,U010,messenger,3,528,0.0,1,3
S0062,U018,messenger,4,674,0.0,1,2
S0063,U016,web,5,508,0.0,1,3
S0064,U014,messenger,5,975,0.0,1,3
S0065,U006,messenger,6,935,0.0,1,2
S0066,U006,web,8,823,0.0,1,3
S0067,U018,web,4,826,0.0,1,2
S0068,U013,messenger,4,765,0.0,1,2
S0069,U016,app,7,853,0.0,1,2
S0070,U008,web,3,543,0.0,1,2
S0071,U007,messenger,3,853,0.0,1,3
S0072,U013,web,5,697,0.2,1,3
S0073,U001,web,12,674,0.0,1,3
S0074,U003,app,10,819,0.0,1,2
S0075,U018,web,10,716,0.0,1,3
S0076,U013,web,3,950,0.0,1,2
S0077,U017,messenger,4,982,0.0,1,2
S0078,U005,messenger,4,1060,0.0,1,2
S0079,U009,web,8,773,0.0,1,3
S0080,U006,web,8,709,0.0,1,3
S0081,U006,web,4,1220,0.0,1,3
S0082,U000,app,3,919,0.0,1,2
S0083,U000,messenger,6,963,0.0,1,2
S0084,U008,messenger,4,1026,0.0,1,2
S0085,U013,messenger,6,777,0.0,1,2
S0086,U010,app,4,765,0.0,1,3
S0087,U013,web,5,726,0.0,1,2
S0088,U009,messenger,19,766,0.0,1,2
S0089,U019,messenger,3,518,0.0,1,2
S0090,U005,app,4,1029,0.0,1,2
S0091,U006,web,8,910,0.0,1,3
S0092,U016,app,3,883,0.0,1,3
S0093,U015,messenger,5,832,0.0,1,2
S0094,U002,messenger,4,861,0.0,1,3
S0095,U000,app,4,844,0.0,1,2
S0096,U017,messenger,3,675,0.0,1,3
S0097,U015,messenger,3,944,0.0,1,2
S0098,U004,web,9,663,0.0,1,2
S0099,U013,app,3,832,0.0,1,2
