session_id,intent_key,intent_turns,intent_fallbacks
S0000,1,2,0
S0000,2,1,0
S0000,4,1,0
S0001,2,1,0
S0001,3,1,0
S0001,4,1,0
S0002,1,2,0
S0002,2,2,0
S0002,3,3,0
S0002,4,1,0
S0003,1,1,0
S0003,2,1,0
S0003,3,1,0
S0003,4,3,0
S0004,1,1,0
S0004,2,1,0
S0004,4,1,0
S0005,1,1,0
S0005,4,3,0
S0006,1,7,0
S0006,2,3,1
S0006,3,2,0
S0006,4,3,0
S0007,1,1,0
S0007,2,2,0
S0007,3,4,0
S0007,4,4,0
S0008,1,2,0
S0008,3,3,0
S0008,4,2,0
S0009,1,1,0
S0009,2,1,0
S0009,3,1,0
S0009,4,1,0
S0010,1,2,0
S0010,3,1,0
S0010,4,1,0
S0011,2,2,0
S0011,3,1,0
S0012,1,1,0
S0012,2,1,0
S0012,4,2,1
S0013,1,2,0
S0013,2,5,0
S0013,3,2,0
S0013,4,1,0
S0014,1,1,0
S0014,2,3,0
S0014,4,1,0
S0015,1,4,1
S0015,2,3,0
S0015,3,2,0
S0015,4,4,0
S0016,1,1,0
S0016,2,2,0
S0016,3,2,0
S0016,4,2,0
S0017,1,1,0
S0017,2,1,0
S0017,4,1,0
S0018,1,1,0
S0018,3,1,0
S0018,4,1,0
S0019,1,1,0
S0019,3,1,0
S0019,4,1,0
S0020,3,2,0
S0020,4,1,0
S0021,1,3,1
S0021,2,2,0
S0021,3,1,0
S0021,4,1,0
S0022,1,3,0
S0022,3,1,0
S0022,4,3,0
S0023,1,2,0
S0023,3,2,0
S0023,4,1,0
S0024,1,1,0
S0024,2,1,0
S0024,3,2,0
S0024,4,2,0
S0025,1,9,0
S0025,2,5,0
S0025,3,2,0
S0025,4,4,1
S0026,2,1,0
S0026,3,2,0
S0026,4,1,0
S0027,2,3,0
S0027,4,2,0
S0028,2,2,0
S0028,3,1,0
S0029,2,1,0
S0029,3,3,0
S0029,4,1,0
S0030,2,1,0
S0030,3,3,0
S0030,4,1,0
S0031,1,1,0
S0031,2,2,0
S0031,4,1,1
S0032,3,1,0
S0032,4,2,0
S0033,1,1,0
S0033,3,1,0
S0033,4,2,0
S0034,1,2,0
S0034,2,1,0
S0035,1,1,0
S0035,2,2,0
S0036,1,1,1
S0036,3,3,0
S0036,4,1,0
S0037,1,1,0
S0037,2,1,0
S0037,3,2,0
S0038,1,2,0
S0038,2,2,0
S0038,3,1,0
S0039,1,1,0
S0039,2,3,0
S0039,3,1,0
S0039,4,1,0
S0040,1,1,0
S0040,2,2,0
S0040,4,1,0
S0041,1,1,0
S0041,2,1,0
S0041,3,1,0
S0041,4,1,0
S0042,1,1,0
S0042,3,1,0
S0042,4,2,0
S0043,1,2,0
S0043,2,3,0
S0043,3,1,0
S0043,4,1,0
S0044,3,2,0
S0044,4,1,0
S0045,1,2,0
S0045,2,4,0
S0045,3,1,0
S0046,2,2,0
S0046,3,1,0
S0046,4,1,0
S0047,1,1,0
S0047,2,2,0
S0047,3,1,0
S0047,4,3,0
S0048,1,8,0
S0048,2,1,0
S0048,3,2,0
S0048,4,1,0
S0049,1,6,0
S0049,2,1,0
S0049,3,4,0
S0049,4,3,0
S0050,1,1,0
S0050,2,3,1
S0050,3,5,0
S0050,4,2,0
S0051,1,2,0
S0051,2,3,0
S0052,4,3,0
S0053,2,1,0
S0053,3,2,0
S0053,4,1,0
S0054,1,4,0
S0054,3,2,0
S0054,4,3,0
S0055,1,1,0
S0055,2,1,0
S0055,4,1,0
S0056,1,2,0
S0056,3,5,0
S0057,2,2,0
S0057,4,2,0
S0058,2,2,1
S0058,3,1,0
S0058,4,1,0
S0059,1,3,0
S0060,2,1,0
S0060,3,1,0
S0060,4,2,0
S0061,1,1,0
S0061,2,2,0
S0062,3,1,0
S0062,4,3,0
S0063,2,2,0
S0063,3,2,0
S0063,4,1,0
S0064,1,1,0
S0064,2,2,0
S0064,3,2,0
S0065,1,3,0
S0065,2,1,0
S0065,3,2,0
S0066,1,2,0
S0066,2,4,0
S0066,3,1,0
S0066,4,1,0
S0067,1,2,0
S0067,4,2,0
S0068,1,1,0
S0068,2,2,0
S0068,4,1,0
S0069,1,5,0
S0069,3,1,0
S0069,4,1,0
S0070,4,3,0
S0071,1,2,0
S0071,3,1,0
S0072,2,3,1
S0072,3,1,0
S0072,4,1,0
S0073,1,5,0
S0073,2,2,0
S0073,3,2,0
S0073,4,3,0
S0074,1,3,0
S0074,2,4,0
S0074,3,2,0
S0074,4,1,0
S0075,1,3,0
S0075,2,1,0
S0075,3,1,0
S0075,4,5,0
S0076,2,1,0
S0076,3,2,0
S0077,1,2,0
S0077,2,1,0
S0077,4,1,0
S0078,1,2,0
S0078,2,1,0
S0078,4,1,0
S0079,1,3,0
S0079,2,1,0
S0079,3,2,0
S0079,4,2,0
S0080,1,5,0
S0080,2,2,0
S0080,3,1,0
S0081,1,2,0
S0081,2,1,0
S0081,3,1,0
S0082,2,1,0
S0082,3,1,0
S0082,4,1,0
S0083,1,2,0
S0083,3,2,0
S0083,4,2,0
S0084,2,1,0
S0084,3,1,0
S0084,4,2,0
S0085,1,1,0
S0085,2,2,0
S0085,4,3,0
S0086,2,1,0
S0086,3,2,0
S0086,4,1,0
S0087,1,2,0
S0087,3,1,0
S0087,4,2,0
S0088,1,4,0
S0088,2,4,0
S0088,3,5,0
S0088,4,6,0
S0089,1,1,0
S0089,3,1,0
S0089,4,1,0
S0090,2,3,0
S0090,3,1,0
S0091,1,1,0
S0091,2,2,0
S0091,3,1,0
S0091,4,4,0
S0092,1,1,0
S0092,3,2,0
S0093,1,1,0
S0093,2,1,0
S0093,3,1,0
S0093,4,2,0
S0094,1,1,0
S0094,3,2,0
S0094,4,1,0
S0095,1,1,0
S0095,3,2,0
S0095,4,1,0
S0096,1,2,0
S0096,4,1,0
S0097,2,1,0
S0097,3,2,0
S0098,1,2,0
S0098,2,4,0
S0098,3,1,0
S0098,4,2,0
S0099,1,1,0
S0099,4,2,0
